Date, Open, High, Low, Close
11/01/16, 0.177, 0.210, 0.162, 0.203
10/31/16, 0.172, 0.198, 0.155, 0.172
10/28/16, 0.182, 0.200, 0.160, 0.172
10/27/16, 0.241, 0.248, 0.175, 0.185
10/26/16, 0.236, 0.256, 0.205, 0.243
10/25/16, 0.210, 0.241, 0.182, 0.205
10/24/16, 0.241, 0.256, 0.205, 0.208
10/21/16, 0.238, 0.248, 0.221, 0.238
10/20/16, 0.241, 0.256, 0.221, 0.243
10/19/16, 0.236, 0.251, 0.226, 0.243
10/18/16, 0.229, 0.262, 0.216, 0.241
10/17/16, 0.254, 0.262, 0.219, 0.226
10/14/16, 0.259, 0.264, 0.211, 0.244
10/13/16, 0.257, 0.264, 0.229, 0.241
10/12/16, 0.239, 0.280, 0.234, 0.254
10/11/16, 0.251, 0.279, 0.231, 0.241
10/09/16, 0.251, 0.251, 0.251, 0.246
10/07/16, 0.251, 0.261, 0.241, 0.251
10/06/16, 0.261, 0.266, 0.231, 0.248
10/05/16, 0.251, 0.279, 0.246, 0.261
10/04/16, 0.228, 0.276, 0.218, 0.266
10/03/16, 0.193, 0.246, 0.172, 0.231
09/30/16, 0.112, 0.205, 0.091, 0.195
09/29/16, 0.119, 0.127, 0.089, 0.119
09/28/16, 0.144, 0.170, 0.122, 0.134
09/27/16, 0.106, 0.144, 0.096, 0.129
09/26/16, 0.089, 0.122, 0.081, 0.114
09/23/16, 0.086, 0.114, 0.076, 0.094
09/22/16, 0.109, 0.132, 0.063, 0.101
09/21/16, 0.162, 0.182, 0.104, 0.106
09/20/16, 0.150, 0.158, 0.104, 0.109
09/19/16, 0.193, 0.213, 0.125, 0.140
09/16/16, 0.203, 0.216, 0.173, 0.191
09/15/16, 0.236, 0.249, 0.186, 0.219
09/14/16, 0.244, 0.259, 0.234, 0.249
09/13/16, 0.223, 0.233, 0.203, 0.213
09/12/16, 0.236, 0.256, 0.213, 0.218
09/09/16, 0.246, 0.259, 0.210, 0.241
09/08/16, 0.248, 0.269, 0.233, 0.248
09/07/16, 0.226, 0.259, 0.213, 0.251
09/06/16, 0.251, 0.264, 0.226, 0.228
09/02/16, 0.259, 0.279, 0.238, 0.254
09/01/16, 0.274, 0.294, 0.248, 0.251
08/31/16, 0.238, 0.274, 0.231, 0.269
08/30/16, 0.241, 0.261, 0.213, 0.215
08/29/16, 0.264, 0.279, 0.238, 0.246
08/26/16, 0.269, 0.279, 0.248, 0.266
08/25/16, 0.279, 0.289, 0.264, 0.276
08/24/16, 0.246, 0.292, 0.236, 0.281
08/23/16, 0.241, 0.264, 0.229, 0.254
08/22/16, 0.277, 0.282, 0.231, 0.244
08/19/16, 0.277, 0.285, 0.262, 0.270
08/18/16, 0.282, 0.305, 0.259, 0.285
08/17/16, 0.267, 0.295, 0.259, 0.277
08/16/16, 0.251, 0.271, 0.238, 0.270
08/15/16, 0.264, 0.274, 0.238, 0.256
08/12/16, 0.276, 0.281, 0.251, 0.271
08/11/16, 0.269, 0.297, 0.261, 0.281
08/10/16, 0.254, 0.284, 0.248, 0.271
08/09/16, 0.252, 0.277, 0.241, 0.247
08/08/16, 0.231, 0.267, 0.219, 0.259
08/05/16, 0.239, 0.257, 0.226, 0.236
08/04/16, 0.264, 0.275, 0.229, 0.244
08/03/16, 0.241, 0.280, 0.231, 0.264
08/02/16, 0.196, 0.224, 0.188, 0.219
08/01/16, 0.183, 0.203, 0.173, 0.198
07/29/16, 0.180, 0.193, 0.125, 0.191
07/28/16, 0.236, 0.252, 0.170, 0.178
07/27/16, 0.254, 0.270, 0.231, 0.239
07/26/16, 0.267, 0.275, 0.216, 0.229
07/25/16, 0.275, 0.285, 0.252, 0.264
07/22/16, 0.282, 0.292, 0.262, 0.267
07/21/16, 0.285, 0.290, 0.264, 0.280
07/20/16, 0.277, 0.285, 0.262, 0.275
07/19/16, 0.262, 0.272, 0.239, 0.272
07/18/16, 0.252, 0.308, 0.244, 0.264
07/15/16, 0.302, 0.308, 0.252, 0.257
07/14/16, 0.300, 0.320, 0.285, 0.297
07/13/16, 0.259, 0.313, 0.254, 0.302
07/12/16, 0.264, 0.302, 0.259, 0.287
07/11/16, 0.254, 0.282, 0.241, 0.270
07/08/16, 0.275, 0.287, 0.252, 0.264
07/07/16, 0.275, 0.287, 0.254, 0.277
07/06/16, 0.257, 0.295, 0.247, 0.277
07/05/16, 0.236, 0.264, 0.221, 0.241
07/01/16, 0.178, 0.247, 0.175, 0.236
06/30/16, 0.183, 0.206, 0.142, 0.188
06/29/16, 0.236, 0.257, 0.160, 0.175
06/28/16, 0.208, 0.234, 0.198, 0.219
06/27/16, 0.239, 0.254, 0.206, 0.208
06/24/16, 0.272, 0.277, 0.211, 0.244
06/23/16, 0.252, 0.280, 0.247, 0.270
06/22/16, 0.249, 0.272, 0.239, 0.272
06/21/16, 0.224, 0.254, 0.213, 0.254
06/20/16, 0.224, 0.236, 0.211, 0.219
06/17/16, 0.234, 0.239, 0.208, 0.221
06/16/16, 0.234, 0.247, 0.213, 0.231
06/15/16, 0.224, 0.262, 0.219, 0.236
06/14/16, 0.208, 0.234, 0.196, 0.229
06/13/16, 0.188, 0.226, 0.186, 0.208
06/10/16, 0.211, 0.219, 0.175, 0.191
06/09/16, 0.198, 0.226, 0.186, 0.224
06/08/16, 0.191, 0.219, 0.183, 0.201
06/07/16, 0.183, 0.224, 0.175, 0.213
06/06/16, 0.175, 0.208, 0.168, 0.191
06/03/16, 0.180, 0.206, 0.168, 0.180
06/02/16, 0.231, 0.244, 0.170, 0.183
06/01/16, 0.231, 0.290, 0.211, 0.224
05/31/16, 0.221, 0.231, 0.158, 0.231
05/27/16, 0.165, 0.236, 0.160, 0.219
05/26/16, 0.234, 0.244, 0.107, 0.163
05/25/16, 0.262, 0.282, 0.219, 0.241
05/24/16, 0.249, 0.264, 0.236, 0.262
05/23/16, 0.252, 0.262, 0.231, 0.247
05/20/16, 0.252, 0.264, 0.234, 0.249
05/19/16, 0.247, 0.264, 0.239, 0.249
05/18/16, 0.241, 0.272, 0.236, 0.254
05/17/16, 0.208, 0.231, 0.201, 0.219
05/16/16, 0.226, 0.249, 0.193, 0.203
05/13/16, 0.254, 0.254, 0.216, 0.231
05/12/16, 0.257, 0.275, 0.239, 0.249
05/11/16, 0.254, 0.277, 0.244, 0.267
05/10/16, 0.213, 0.259, 0.203, 0.252
05/09/16, 0.203, 0.231, 0.186, 0.216
05/06/16, 0.191, 0.213, 0.175, 0.203
05/05/16, 0.186, 0.203, 0.175, 0.193
05/04/16, 0.163, 0.198, 0.158, 0.178
05/03/16, 0.130, 0.163, 0.127, 0.145
05/02/16, 0.163, 0.168, 0.094, 0.132
04/29/16, 0.163, 0.170, 0.135, 0.155
04/28/16, 0.178, 0.183, 0.152, 0.160
04/27/16, 0.183, 0.198, 0.175, 0.183
04/26/16, 0.170, 0.188, 0.155, 0.188
04/25/16, 0.186, 0.203, 0.160, 0.183
04/22/16, 0.193, 0.198, 0.178, 0.191
04/21/16, 0.186, 0.206, 0.170, 0.191
04/20/16, 0.145, 0.203, 0.140, 0.191
04/19/16, 0.158, 0.180, 0.152, 0.175
04/18/16, 0.193, 0.216, 0.147, 0.160
04/15/16, 0.213, 0.221, 0.183, 0.193
04/14/16, 0.211, 0.221, 0.201, 0.211
04/13/16, 0.201, 0.226, 0.201, 0.219
04/12/16, 0.206, 0.224, 0.196, 0.219
04/11/16, 0.196, 0.221, 0.183, 0.216
04/08/16, 0.201, 0.211, 0.178, 0.201
04/07/16, 0.196, 0.213, 0.183, 0.208
04/06/16, 0.170, 0.216, 0.165, 0.198
04/05/16, 0.188, 0.208, 0.173, 0.196
04/04/16, 0.196, 0.211, 0.160, 0.193
04/01/16, 0.173, 0.231, 0.150, 0.203
03/31/16, 0.130, 0.186, 0.089, 0.173
03/30/16, 0.178, 0.188, 0.127, 0.135
03/29/16, 0.191, 0.191, 0.107, 0.180
03/28/16, 0.247, 0.264, 0.170, 0.178
03/24/16, 0.280, 0.285, 0.244, 0.247
03/23/16, 0.267, 0.292, 0.267, 0.282
03/22/16, 0.252, 0.270, 0.241, 0.262
03/21/16, 0.277, 0.287, 0.236, 0.249
03/18/16, 0.290, 0.295, 0.270, 0.280
03/17/16, 0.277, 0.297, 0.259, 0.292
03/16/16, 0.272, 0.300, 0.259, 0.280
03/15/16, 0.272, 0.277, 0.252, 0.270
03/14/16, 0.275, 0.282, 0.259, 0.270
03/11/16, 0.270, 0.282, 0.254, 0.280
03/10/16, 0.272, 0.282, 0.254, 0.277
03/09/16, 0.272, 0.292, 0.259, 0.282
03/08/16, 0.264, 0.280, 0.247, 0.262
03/07/16, 0.252, 0.282, 0.244, 0.267
03/04/16, 0.241, 0.275, 0.226, 0.249
03/03/16, 0.270, 0.282, 0.241, 0.252
03/02/16, 0.285, 0.310, 0.280, 0.292
03/01/16, 0.226, 0.280, 0.213, 0.280
02/29/16, 0.257, 0.259, 0.221, 0.224
02/26/16, 0.264, 0.275, 0.236, 0.257
02/25/16, 0.292, 0.295, 0.247, 0.275
02/24/16, 0.275, 0.333, 0.272, 0.295
02/23/16, 0.275, 0.285, 0.249, 0.259
02/22/16, 0.262, 0.287, 0.257, 0.272
02/19/16, 0.282, 0.292, 0.257, 0.267
02/18/16, 0.285, 0.292, 0.272, 0.280
02/17/16, 0.224, 0.267, 0.211, 0.254
02/16/16, 0.270, 0.272, 0.213, 0.221
02/12/16, 0.264, 0.280, 0.249, 0.257
02/11/16, 0.282, 0.285, 0.249, 0.275
02/10/16, 0.270, 0.297, 0.244, 0.292
02/09/16, 0.211, 0.267, 0.206, 0.257
02/08/16, 0.229, 0.231, 0.196, 0.219
02/05/16, 0.239, 0.262, 0.211, 0.226
02/04/16, 0.264, 0.277, 0.234, 0.244
02/03/16, 0.239, 0.308, 0.236, 0.290
02/02/16, 0.193, 0.234, 0.178, 0.234
02/01/16, 0.226, 0.247, 0.175, 0.191
01/29/16, 0.254, 0.259, 0.203, 0.231
01/28/16, 0.277, 0.290, 0.241, 0.249
01/27/16, 0.280, 0.300, 0.254, 0.275
01/26/16, 0.254, 0.275, 0.234, 0.262
